s0,s1,s2,s3,s4,s5,s6,action
0.0,0.0,0.15,0.14,0.12,0.0,0.0,0.0
0.0,0.0,0.34,0.33,0.32,0.0,0.0,0.0
0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0
0.0,0.0,0.18,0.16,0.14,0.0,0.0,0.0
0.0,0.08,0.33,0.31,0.29,0.0,0.0,0.0
0.0,0.22,0.48,0.46,0.44,0.0,0.0,0.0
0.0,0.36,0.62,0.61,0.59,0.0,0.0,0.0
0.0,0.49,0.77,0.76,0.74,0.0,0.0,0.0
0.0,0.62,0.92,0.91,0.89,0.0,0.0,0.0
0.0,0.76,1.07,1.06,1.04,0.0,0.0,0.0
0.0,0.89,1.22,1.21,1.19,0.02,0.0,0.0
0.0,1.02,1.37,1.36,1.34,0.14,0.0,0.0
0.0,1.16,1.52,1.51,1.49,0.26,0.0,0.0
0.0,1.29,1.67,1.66,1.65,0.37,0.0,1.0
0.06,1.37,1.6,1.59,1.55,0.29,0.0,1.0
0.15,1.46,1.54,1.5,1.49,0.19,0.0,1.0
0.25,1.52,1.45,1.43,1.4,0.09,0.0,1.0
0.34,1.62,1.36,1.35,1.31,0.0,0.0,1.0
0.43,1.69,1.3,1.27,1.23,0.0,0.0,1.0
0.52,1.78,1.22,1.17,1.16,0.0,0.0,1.0
0.61,1.85,1.12,1.09,1.07,0.0,0.0,1.0
0.7,1.92,1.05,1.01,0.97,0.0,0.0,1.0
0.78,1.99,0.95,0.91,0.87,0.0,0.0,1.0
0.88,2.03,0.87,0.84,0.79,0.0,0.0,1.0
0.96,1.96,0.78,0.74,0.7,0.0,0.0,1.0
1.04,1.89,0.69,0.65,0.61,0.0,0.0,1.0
1.13,1.82,0.6,0.56,0.52,0.0,0.0,1.0
1.21,1.75,0.51,0.47,0.43,0.0,0.0,1.0
1.29,1.66,0.42,0.37,0.33,0.0,0.0,1.0
1.37,1.59,0.33,0.29,0.24,0.0,0.0,1.0
1.46,1.5,0.23,0.19,0.15,0.0,0.0,1.0
1.52,1.43,0.14,0.09,0.05,0.0,0.0,1.0
1.62,1.35,0.05,0.0,0.0,0.0,0.0,1.0
1.69,1.27,0.0,0.0,0.0,0.0,0.0,1.0
1.78,1.17,0.0,0.0,0.0,0.0,0.0,1.0
1.85,1.09,0.0,0.0,0.0,0.0,0.0,1.0
1.92,1.01,0.0,0.0,0.0,0.0,0.0,0.0
1.92,1.01,0.0,0.0,0.0,0.0,0.0,0.0
1.95,1.03,0.0,0.0,0.0,0.0,0.0,0.0
1.95,1.04,0.0,0.0,0.0,0.0,0.0,0.0
1.97,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.08,0.0,0.0,0.0,0.0,0.0,1.0
2.08,0.99,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.98,0.0,0.0,0.0,0.0,0.0,0.0
2.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.08,1.01,0.0,0.0,0.0,0.0,0.0,0.0
2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.11,1.01,0.0,0.0,0.0,0.0,0.0,0.0
2.11,1.02,0.0,0.0,0.0,0.0,0.0,1.0
2.17,0.93,0.0,0.0,0.0,0.0,0.0,0.0
2.17,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.93,0.0,0.0,0.0,0.0,0.0,0.0
2.17,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.93,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.14,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.14,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.14,0.89,0.19,0.19,0.19,0.0,0.0,0.0
2.12,0.9,0.37,0.37,0.37,0.0,0.0,0.0
2.13,0.89,0.55,0.55,0.55,0.0,0.0,0.0
2.12,0.89,0.73,0.73,0.73,0.0,0.0,0.0
2.1,0.89,0.91,0.91,0.91,0.02,0.0,0.0
2.11,0.89,1.09,1.09,1.09,0.14,0.0,0.0
2.1,0.88,1.27,1.27,1.27,0.27,0.0,0.0
2.11,0.89,1.45,1.45,1.45,0.4,0.0,0.0
2.09,0.88,1.63,1.63,1.63,0.53,0.0,0.0
2.1,0.89,1.81,1.81,1.81,0.65,0.0,0.0
2.08,0.87,2.0,2.0,1.99,0.78,0.0,0.0
2.09,0.95,2.18,2.18,2.18,0.91,0.0,0.0
2.08,1.09,2.36,2.36,2.36,1.05,0.0,1.0
2.03,1.17,2.29,2.29,2.28,0.94,0.0,1.0
1.95,1.28,2.21,2.2,2.2,0.86,0.0,1.0
1.88,1.33,2.13,2.12,2.11,0.76,0.0,1.0
1.8,1.43,2.05,2.04,2.03,0.67,0.0,1.0
1.72,1.53,1.97,1.96,1.95,0.58,0.0,1.0
1.65,1.6,1.88,1.83,1.83,0.48,0.0,1.0
1.55,1.71,1.8,1.76,1.75,0.39,0.0,1.0
1.48,1.79,1.69,1.68,1.64,0.3,0.0,1.0
1.38,1.86,1.61,1.61,1.57,0.2,0.0,1.0
1.29,1.95,1.54,1.5,1.47,0.11,0.0,1.0
1.23,2.03,1.43,1.4,1.37,0.01,0.0,1.0
0.81,2.11,1.34,1.31,1.29,0.0,0.0,1.0
0.9,2.19,1.24,1.23,1.18,0.0,0.0,1.0
0.98,2.28,1.19,1.15,1.11,0.0,0.0,1.0
1.09,2.36,1.08,1.05,1.0,0.0,0.0,1.0
1.17,2.29,0.99,0.94,0.92,0.0,0.0,1.0
1.28,2.2,0.9,0.86,0.81,0.0,0.0,1.0
1.33,2.12,0.81,0.76,0.73,0.0,0.0,1.0
1.43,2.04,0.71,0.67,0.64,0.0,0.0,1.0
1.53,1.96,0.61,0.58,0.54,0.0,0.0,1.0
1.6,1.83,0.53,0.48,0.44,0.0,0.0,1.0
1.71,1.76,0.44,0.39,0.35,0.0,0.0,1.0
1.79,1.68,0.34,0.3,0.25,0.0,0.0,1.0
1.86,1.61,0.25,0.2,0.16,0.0,0.0,1.0
1.95,1.5,0.15,0.11,0.06,0.0,0.0,1.0
2.03,1.4,0.06,0.01,0.0,0.0,0.0,1.0
2.11,1.31,0.0,0.0,0.0,0.0,0.0,1.0
2.19,1.23,0.0,0.0,0.0,0.0,0.0,1.0
2.28,1.15,0.0,0.0,0.0,0.0,0.0,0.0
2.3,1.15,0.0,0.0,0.0,0.0,0.0,0.0
2.29,1.13,0.0,0.0,0.0,0.0,0.0,0.0
2.31,1.14,0.0,0.0,0.0,0.0,0.0,0.0
2.3,1.15,0.0,0.0,0.0,0.0,0.0,0.0
2.33,1.15,0.0,0.0,0.0,0.0,0.0,0.0
2.31,1.16,0.0,0.0,0.0,0.0,0.0,0.0
2.34,1.17,0.0,0.0,0.0,0.0,0.0,0.0
2.32,1.18,0.0,0.0,0.0,0.0,0.0,1.0
2.41,1.07,0.0,0.0,0.0,0.0,0.0,0.0
2.39,1.08,0.0,0.0,0.0,0.0,0.0,0.0
2.41,1.08,0.0,0.0,0.0,0.0,0.0,0.0
2.39,1.07,0.0,0.0,0.0,0.0,0.0,0.0
2.4,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2.38,1.07,0.0,0.0,0.0,0.0,0.0,0.0
2.39,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2.37,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2.39,1.07,0.0,0.0,0.0,0.0,0.0,0.0
2.37,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2.38,1.05,0.0,0.0,0.0,0.0,0.0,0.0
2.36,1.07,0.0,0.0,0.0,0.0,0.0,0.0
2.38,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2.35,1.05,0.0,0.0,0.0,0.0,0.0,0.0
2.37,1.04,0.0,0.0,0.0,0.0,0.0,0.0
2.35,1.06,0.0,0.0,0.0,0.0,0.0,0.0
2.36,1.05,0.0,0.0,0.0,0.0,0.0,0.0
2.34,1.04,0.0,0.0,0.0,0.0,0.0,0.0
2.36,1.05,0.0,0.0,0.0,0.0,0.0,0.0
2.34,1.02,0.0,0.0,0.0,0.0,0.0,0.0
2.35,1.04,0.0,0.0,0.0,0.0,0.0,0.0
2.33,1.03,0.0,0.0,0.0,0.0,0.0,0.0
2.34,1.02,0.0,0.0,0.0,0.0,0.0,0.0
2.32,1.03,0.0,0.0,0.0,0.0,0.0,0.0
2.34,1.02,0.0,0.0,0.0,0.0,0.0,0.0
2.32,1.04,0.0,0.0,0.0,0.0,0.0,0.0
2.33,1.01,0.0,0.0,0.0,0.0,0.0,0.0
2.31,1.02,0.0,0.0,0.0,0.0,0.0,0.0
2.33,1.01,0.0,0.0,0.0,0.0,0.0,0.0
2.31,1.01,0.0,0.0,0.0,0.0,0.0,0.0
2.32,1.02,0.0,0.0,0.0,0.0,0.0,0.0
2.3,1.01,0.0,0.0,0.0,0.0,0.0,0.0
2.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.29,1.02,0.0,0.0,0.0,0.0,0.0,0.0
2.31,1.01,0.0,0.0,0.0,0.0,0.0,0.0
2.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0.99,0.1,0.1,0.1,0.0,0.0,0.0
2.28,1.0,0.28,0.28,0.28,0.0,0.0,0.0
2.29,1.0,0.46,0.46,0.46,0.0,0.0,0.0
2.27,0.99,0.64,0.64,0.64,0.0,0.0,0.0
2.29,1.0,0.82,0.82,0.81,0.0,0.0,0.0
2.27,0.97,1.0,0.99,0.99,0.08,0.0,0.0
2.28,0.99,1.17,1.17,1.17,0.21,0.0,0.0
2.26,0.98,1.35,1.35,1.35,0.33,0.0,0.0
2.28,0.99,1.53,1.53,1.53,0.46,0.0,0.0
2.26,0.98,1.71,1.71,1.71,0.59,0.0,0.0
2.27,0.97,1.89,1.89,1.88,0.72,0.0,1.0
2.17,0.88,1.82,1.81,1.81,0.63,0.0,1.0
2.1,0.8,1.76,1.75,1.75,0.54,0.0,1.0
2.03,0.7,1.69,1.68,1.67,0.46,0.0,1.0
1.93,1.12,1.61,1.6,1.59,0.36,0.0,1.0
1.86,1.21,1.55,1.52,1.51,0.27,0.0,1.0
1.79,1.29,1.48,1.46,1.43,0.18,0.0,1.0
1.69,1.37,1.4,1.37,1.35,0.09,0.0,1.0
1.6,1.44,1.33,1.29,1.28,0.0,0.0,1.0
1.51,1.52,1.24,1.2,1.19,0.0,0.0,1.0
1.42,1.6,1.17,1.14,1.11,0.0,0.0,1.0
1.34,1.68,1.08,1.05,1.02,0.0,0.0,1.0
1.24,1.74,1.0,0.96,0.93,0.0,0.0,0.0
1.17,1.87,1.11,1.08,1.04,0.0,0.0,0.0
1.08,2.01,1.21,1.17,1.14,0.0,0.0,1.0
0.82,2.1,1.12,1.08,1.06,0.0,0.0,1.0
0.9,2.16,1.02,1.0,0.97,0.0,0.0,1.0
0.98,2.16,0.95,0.92,0.88,0.0,0.0,1.0
1.08,2.1,0.86,0.82,0.78,0.0,0.0,1.0
1.17,2.01,0.77,0.73,0.7,0.0,0.0,1.0
1.26,1.92,0.69,0.65,0.61,0.0,0.0,1.0
1.35,1.86,0.59,0.56,0.51,0.0,0.0,1.0
1.43,1.77,0.5,0.46,0.42,0.0,0.0,1.0
1.51,1.68,0.41,0.37,0.33,0.0,0.0,1.0
1.59,1.59,0.32,0.28,0.24,0.0,0.0,1.0
1.68,1.51,0.23,0.19,0.14,0.0,0.0,1.0
1.77,1.43,0.14,0.09,0.05,0.0,0.0,1.0
1.86,1.35,0.05,0.0,0.0,0.0,0.0,1.0
1.95,1.28,0.0,0.0,0.0,0.0,0.0,1.0
2.01,1.17,0.0,0.0,0.0,0.0,0.0,1.0
2.1,1.08,0.0,0.0,0.0,0.0,0.0,1.0
2.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.18,0.99,0.0,0.0,0.0,0.0,0.0,0.0
2.17,1.02,0.0,0.0,0.0,0.0,0.0,1.0
2.17,0.93,0.0,0.0,0.0,0.0,0.0,0.0
2.18,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.18,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.17,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.14,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.14,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.14,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.11,0.87,0.0,0.0,0.0,0.0,0.0,2.0
2.11,0.97,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.98,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.97,0.0,0.0,0.0,0.0,0.0,1.0
2.12,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.13,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.11,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.11,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.84,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.83,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.84,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.83,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.82,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.83,0.0,0.0,0.0,0.0,0.0,0.0
2.04,0.83,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.82,0.0,0.0,0.0,0.0,0.0,0.0
2.03,0.81,0.0,0.0,0.0,0.0,0.0,0.0
2.04,0.82,0.0,0.0,0.0,0.0,0.0,0.0
2.03,0.82,0.0,0.0,0.0,0.0,0.0,0.0
2.04,0.81,0.0,0.0,0.0,0.0,0.0,0.0
2.02,0.82,0.0,0.0,0.0,0.0,0.0,0.0
2.03,0.81,0.0,0.0,0.0,0.0,0.0,0.0
2.02,0.81,0.15,0.15,0.15,0.0,0.0,0.0
2.02,0.8,0.33,0.33,0.33,0.0,0.0,0.0
2.01,0.81,0.51,0.51,0.51,0.0,0.0,0.0
2.02,0.8,0.69,0.69,0.68,0.0,0.0,0.0
2.0,0.8,0.87,0.86,0.86,0.0,0.0,0.0
2.01,0.8,1.05,1.04,1.04,0.12,0.0,0.0
2.0,0.8,1.22,1.22,1.22,0.25,0.0,0.0
2.0,0.79,1.4,1.4,1.4,0.37,0.0,0.0
1.99,0.8,1.58,1.58,1.58,0.5,0.0,0.0
2.0,0.78,1.76,1.76,1.76,0.63,0.0,0.0
1.98,0.79,1.94,1.94,1.94,0.77,0.0,1.0
1.92,0.91,1.86,1.86,1.85,0.68,0.0,1.0
1.85,1.0,1.8,1.8,1.79,0.59,0.0,1.0
1.76,1.08,1.74,1.73,1.7,0.5,0.0,1.0
1.69,1.17,1.66,1.65,1.64,0.4,0.0,1.0
1.6,1.26,1.6,1.57,1.55,0.31,0.0,1.0
1.54,1.34,1.52,1.51,1.47,0.23,0.0,1.0
1.45,1.42,1.44,1.42,1.41,0.14,0.0,1.0
1.39,1.5,1.38,1.34,1.31,0.04,0.0,1.0
1.3,1.58,1.28,1.27,1.24,0.0,0.0,1.0
1.22,1.64,1.21,1.18,1.15,0.0,0.0,1.0
1.13,1.73,1.14,1.11,1.06,0.0,0.0,1.0
1.04,1.79,1.05,1.02,0.98,0.0,0.0,1.0
0.96,1.87,0.97,0.93,0.89,0.0,0.0,1.0
0.87,1.93,0.88,0.85,0.81,0.0,0.0,1.0
0.79,1.94,0.8,0.77,0.73,0.0,0.0,1.0
0.91,1.86,0.71,0.68,0.64,0.0,0.0,1.0
1.0,1.8,0.62,0.59,0.55,0.0,0.0,1.0
1.08,1.73,0.54,0.5,0.45,0.0,0.0,1.0
1.17,1.65,0.45,0.4,0.37,0.0,0.0,1.0
1.26,1.57,0.36,0.31,0.27,0.0,0.0,1.0
1.34,1.51,0.27,0.23,0.18,0.0,0.0,1.0
1.42,1.42,0.18,0.14,0.09,0.0,0.0,1.0
1.5,1.34,0.09,0.04,0.0,0.0,0.0,1.0
1.58,1.27,0.0,0.0,0.0,0.0,0.0,1.0
1.64,1.18,0.0,0.0,0.0,0.0,0.0,1.0
1.73,1.11,0.0,0.0,0.0,0.0,0.0,1.0
1.79,1.02,0.0,0.0,0.0,0.0,0.0,1.0
1.87,0.93,0.0,0.0,0.0,0.0,0.0,0.0
1.87,0.95,0.0,0.0,0.0,0.0,0.0,1.0
1.94,0.86,0.0,0.0,0.0,0.0,0.0,0.0
1.95,0.87,0.0,0.0,0.0,0.0,0.0,0.0
1.95,0.86,0.0,0.0,0.0,0.0,0.0,0.0
1.96,0.88,0.0,0.0,0.0,0.0,0.0,0.0
1.98,0.87,0.0,0.0,0.0,0.0,0.0,0.0
1.98,0.88,0.0,0.0,0.0,0.0,0.0,0.0
1.99,0.88,0.0,0.0,0.0,0.0,0.0,0.0
1.99,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.01,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.02,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.01,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.03,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.03,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.04,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.04,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.94,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.93,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.94,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.94,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.95,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.95,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.96,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.97,0.0,0.0,0.0,0.0,0.0,0.0
2.11,0.96,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.98,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.97,0.0,0.0,0.0,0.0,0.0,1.0
2.12,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.11,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.85,0.18,0.18,0.18,0.0,0.0,0.0
2.06,0.85,0.36,0.36,0.36,0.0,0.0,0.0
2.05,0.85,0.54,0.54,0.54,0.0,0.0,0.0
2.05,0.85,0.72,0.72,0.71,0.0,0.0,0.0
2.04,0.84,0.9,0.9,0.89,0.02,0.0,0.0
2.05,0.84,1.08,1.08,1.07,0.15,0.0,0.0
2.03,0.84,1.26,1.25,1.25,0.27,0.0,0.0
2.04,0.84,1.44,1.43,1.43,0.4,0.0,0.0
2.03,0.83,1.62,1.61,1.61,0.54,0.0,0.0
2.04,0.84,1.8,1.79,1.79,0.67,0.0,0.0
2.02,0.82,1.98,1.97,1.97,0.79,0.0,1.0
1.95,0.93,1.92,1.91,1.91,0.7,0.0,1.0
1.88,1.01,1.86,1.85,1.84,0.61,0.0,1.0
1.81,1.09,1.79,1.76,1.75,0.53,0.0,1.0
1.74,1.18,1.71,1.7,1.68,0.43,0.0,1.0
1.67,1.25,1.64,1.61,1.6,0.34,0.0,1.0
1.57,1.33,1.56,1.54,1.53,0.25,0.0,1.0
1.5,1.41,1.5,1.46,1.45,0.16,0.0,1.0
1.41,1.5,1.41,1.4,1.36,0.06,0.0,1.0
1.35,1.58,1.33,1.32,1.28,0.0,0.0,1.0
